model_id,target,feature,importance
XGBoost Gradient Boosted Trees,attack_success,num__Packet Type_div_Timestamp,0.019600725
XGBoost Gradient Boosted Trees,attack_success,num__Source Port_div_Timestamp,0.019440742
XGBoost Gradient Boosted Trees,attack_success,num__Attack Signature,0.019346073
XGBoost Gradient Boosted Trees,attack_success,num__Timestamp_x_Packet Type,0.01926836
XGBoost Gradient Boosted Trees,attack_success,num__Source Port,0.019135006
XGBoost Gradient Boosted Trees,attack_success,num__DayOfWeek,0.019133316
XGBoost Gradient Boosted Trees,attack_success,num__Attack Type_Intrusion,0.019003008
XGBoost Gradient Boosted Trees,attack_success,num__Network Segment_Segment B,0.018922072
XGBoost Gradient Boosted Trees,attack_success,num__Source IP Address,0.018852035
XGBoost Gradient Boosted Trees,attack_success,num__Month,0.018667432
XGBoost Gradient Boosted Trees,attack_success,num__Timestamp_div_Packet Type,0.018613318
XGBoost Gradient Boosted Trees,attack_success,num__Destination IP Address,0.018396888
XGBoost Gradient Boosted Trees,attack_success,num__Source IP Address_class,0.018370103
XGBoost Gradient Boosted Trees,attack_success,num__Day,0.018303324
XGBoost Gradient Boosted Trees,attack_success,num__Packet Length,0.01829846
XGBoost Gradient Boosted Trees,attack_success,num__Timestamp_div_Source Port,0.018291585
XGBoost Gradient Boosted Trees,attack_success,num__Timestamp_x_Packet Length,0.018265069
XGBoost Gradient Boosted Trees,attack_success,num__Network Segment_Segment C,0.018237725
XGBoost Gradient Boosted Trees,attack_success,num__Anomaly Scores,0.018203286
XGBoost Gradient Boosted Trees,attack_success,num__Destination IP Address_class,0.01819192
XGBoost Gradient Boosted Trees,attack_success,num__Timestamp_x_Destination Port,0.018155022
XGBoost Gradient Boosted Trees,attack_success,num__Timestamp,0.01815193
XGBoost Gradient Boosted Trees,attack_success,num__Severity Level_Medium,0.017944464
XGBoost Gradient Boosted Trees,attack_success,num__Proxy Information,0.01792516
XGBoost Gradient Boosted Trees,attack_success,num__Minute,0.017841974
XGBoost Gradient Boosted Trees,attack_success,num__Packet Length_div_Timestamp,0.017830325
